,cat1,cat2,id,name,packaging,unit_price,iva,unit_size,size_format,price_decreased
0,"Aceite, especias y salsas","Aceite, vinagre y sal",112,"Aceite de oliva 0,4º Hacendado",Botella,9.25,5,1.0,l,False
1,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen extra Hacendado,Garrafa,29.55,5,3.0,l,False
2,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen extra Hacendado,Botella,9.90,5,1.0,l,False
3,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen extra Hacendado Gran Selección,Botella,8.10,5,0.75,l,False
4,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva 1º Hacendado,Garrafa,46.00,5,5.0,l,False
5,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva 1º Hacendado,Botella,9.25,5,1.0,l,False
6,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen Hacendado,Garrafa,28.50,5,3.0,l,False
7,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen Hacendado,Botella,9.55,5,1.0,l,False
8,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva suave Hacendado,Garrafa,27.60,5,3.0,l,False
9,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen extra Hacendado,Spray,3.30,5,0.2,l,False
10,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de oliva virgen extra Picual Casa Juncal,Botella,7.85,5,0.5,l,False
11,"Aceite, especias y salsas","Aceite, vinagre y sal",112,"Aceite de girasol refinado 0,2º Hacendado",Garrafa,6.95,5,5.0,l,False
12,"Aceite, especias y salsas","Aceite, vinagre y sal",112,"Aceite de girasol refinado 0,2º Hacendado",Botella,1.45,5,1.0,l,False
13,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Aceite de coco virgen Hacendado,Bote,4.40,10,0.45,l,False
14,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Vinagre de vino blanco Hacendado,Botella,0.75,10,1.0,l,False
15,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Vinagre balsámico de Módena Hacendado,Botella,1.35,10,0.25,l,False
16,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Vinagre de manzana Hacendado,Botella,0.90,10,1.0,l,False
17,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Limón exprimido Hacendado,Botella,1.00,10,0.28,l,False
18,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Crema de vinagre balsámico de Módena Hacendado,Botella,1.75,10,0.25,kg,False
19,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Vinagre de Jerez reserva Hacendado,Botella,2.00,10,0.25,l,False
20,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Reducción de vinagre Pedro Ximénez Hacendado,Botella,2.25,10,0.3,kg,False
21,"Aceite, especias y salsas","Aceite, vinagre y sal",112,"Aceite de oliva, vinagre y sal Merry",Paquete,2.20,10,0.1,l,False
22,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Sal fina Hacendado,Paquete,0.35,10,1.0,kg,False
23,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Sal fina de mesa Hacendado,Bote,0.60,10,0.25,kg,False
24,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Sal yodada fina Hacendado,Paquete,0.35,10,1.0,kg,False
25,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Sal gruesa Hacendado,Paquete,0.35,10,1.0,kg,False
26,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Bicarbonato sódico Hacendado,Paquete,1.50,10,1.0,kg,False
27,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Bicarbonato sódico Hacendado,Bote,1.10,10,0.3,kg,False
28,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Sal marina en escamas Polasal,Bote,2.00,10,0.125,kg,False
29,"Aceite, especias y salsas","Aceite, vinagre y sal",112,Sal gruesa para hornear Hacendado,Paquete,0.95,10,2.0,kg,False
